时间,,中交碧桂园低压出口_10k压力量产一批0033#压力值(KPa)
2026/1/10,5:50:00,2.72
2026/1/10,5:40:00,2.81
2026/1/10,5:40:00,2.81
2026/1/10,5:30:00,2.86
2026/1/10,5:30:00,2.86
2026/1/10,5:20:00,2.9
2026/1/10,5:20:00,2.9
2026/1/10,5:10:00,2.95
2026/1/10,5:10:00,2.95
2026/1/10,5:00:00,2.98
2026/1/10,5:00:00,2.98
2026/1/10,4:50:00,2.84
2026/1/10,4:40:00,2.87
2026/1/10,4:40:00,2.87
2026/1/10,4:30:00,2.96
2026/1/10,4:30:00,2.96
2026/1/10,4:20:00,2.75
2026/1/10,4:20:00,2.75
2026/1/10,4:10:00,2.98
2026/1/10,4:10:00,2.98
2026/1/10,4:00:00,2.91
2026/1/10,4:00:00,2.91
2026/1/10,3:50:00,2.97
2026/1/10,3:50:00,2.97
2026/1/10,3:40:00,3.12
2026/1/10,3:40:00,3.12
2026/1/10,3:30:00,2.96
2026/1/10,3:30:00,2.96
2026/1/10,3:20:00,2.79
2026/1/10,3:20:00,2.79
2026/1/10,3:10:00,2.94
2026/1/10,3:10:00,2.94
2026/1/10,3:00:00,2.9
2026/1/10,3:00:00,2.9
2026/1/10,2:50:00,2.87
2026/1/10,2:50:00,2.87
2026/1/10,2:40:00,2.88
2026/1/10,2:40:00,2.88
2026/1/10,2:30:00,2.85
2026/1/10,2:30:00,2.85
2026/1/10,2:20:00,2.83
2026/1/10,2:10:00,2.81
2026/1/10,2:10:00,2.81
2026/1/10,2:00:00,2.9
2026/1/10,2:00:00,2.9
2026/1/10,1:50:00,2.93
2026/1/10,1:50:00,2.93
2026/1/10,1:40:00,2.88
2026/1/10,1:40:00,2.88
2026/1/10,1:30:00,2.87
2026/1/10,1:30:00,2.87
2026/1/10,1:20:00,2.85
2026/1/10,1:20:00,2.85
2026/1/10,1:10:00,2.82
2026/1/10,1:10:00,2.82
2026/1/10,1:00:00,2.67
2026/1/10,1:00:00,2.67
2026/1/10,0:50:00,2.91
2026/1/10,0:50:00,2.91
2026/1/10,0:40:00,2.88
2026/1/10,0:40:00,2.88
2026/1/10,0:30:00,2.61
2026/1/10,0:20:00,2.87
2026/1/10,0:10:00,2.62
2026/1/10,0:00:00,2.6
2026/1/10,0:00:00,2.6
